"","X","group","id","grubsize","lowerlim","upperlim","value"
"1",1,0,1,2.13395835009457,2,4,3
"2",2,0,1,0.963377548279499,2,4,3
"3",3,0,1,1.6584098993572,2,4,3
"4",4,0,1,0.304925847258524,4,6,5
"5",5,0,1,1.87789379969752,6,8,7
"6",6,0,1,0.304925847258524,6,8,7
"7",7,0,1,-1.41436470540736,12,NA,12
"8",8,0,2,-1.41436470540736,2,4,3
"9",9,0,2,0.378087147371965,2,4,3
"10",10,0,2,1.51208729913031,4,6,5
"11",11,0,2,1.21944209867655,4,6,5
"12",12,0,2,-0.0974613033654065,8,10,9
"13",13,0,2,-1.37778405535064,8,10,9
"14",14,0,2,0.451248447485406,12,NA,12
"15",15,0,3,0.122022596974919,0,2,1
"16",16,0,3,0.524409747598848,2,4,3
"17",17,0,3,3.19479720173947,2,4,3
"18",18,0,3,0.926796898222778,2,4,3
"19",19,0,3,0.670732347825732,2,4,3
"20",20,0,3,-1.41436470540736,4,6,5
"21",21,0,3,-0.207203253535569,4,6,5
"22",22,0,4,0.414667797428686,0,2,1
"23",23,0,4,0.268345197201803,0,2,1
"24",24,0,4,1.29260339878999,0,2,1
"25",25,0,4,0.451248447485406,0,2,1
"26",26,0,4,1.29260339878999,0,2,1
"27",27,0,4,-1.41436470540736,0,2,1
"28",28,0,4,0.15860324703164,0,2,1
"29",29,0,5,-1.41436470540736,2,4,3
"30",30,0,5,-0.134041953422127,4,6,5
"31",31,0,5,1.29260339878999,4,6,5
"32",32,0,5,-0.64617105421622,4,6,5
"33",33,0,5,-0.829074304499824,6,8,7
"34",34,0,5,-1.3046227552372,12,NA,12
"35",35,0,5,0.231764547145082,12,NA,12
"36",36,0,6,0.634151697769011,4,6,5
"37",37,0,6,-1.01197755478343,4,6,5
"38",38,0,6,0.0122806468047562,4,6,5
"39",39,0,6,-0.609590404159499,4,6,5
"40",40,0,6,-0.134041953422127,4,6,5
"41",41,0,6,-0.463267803932615,8,10,9
"42",42,0,6,1.29260339878999,12,NA,12
"43",43,0,7,-0.755913004386382,2,4,3
"44",44,0,7,-0.316945203705732,2,4,3
"45",45,0,7,-0.390106503819173,2,4,3
"46",46,0,7,1.54866794918703,2,4,3
"47",47,0,7,3.23137785179619,2,4,3
"48",48,0,7,0.122022596974919,2,4,3
"49",49,0,7,0.0488612968614771,4,6,5
"50",50,0,8,1.47550664907359,0,2,1
"51",51,0,8,0.0122806468047562,0,2,1
"52",52,0,8,-0.755913004386382,2,4,3
"53",53,0,8,-1.41436470540736,2,4,3
"54",54,0,8,0.853635598109336,4,6,5
"55",55,0,8,-0.938816254669987,6,8,7
"56",56,0,8,-0.316945203705732,8,10,9
"57",57,0,9,0.817054948052615,0,2,1
"58",58,0,9,0.670732347825732,2,4,3
"59",59,0,9,-0.353525853762452,2,4,3
"60",60,0,9,-0.0608806533086856,4,6,5
"61",61,0,9,-0.938816254669987,10,12,11
"62",62,0,9,0.195183897088361,10,12,11
"63",63,0,9,-0.902235604613266,12,NA,12
"64",64,0,10,-1.41436470540736,0,2,1
"65",65,0,10,-0.0608806533086856,2,4,3
"66",66,0,10,-0.499848453989336,4,6,5
"67",67,0,10,-1.41436470540736,4,6,5
"68",68,0,10,-0.902235604613266,4,6,5
"69",69,0,10,1.1462807985631,6,8,7
"70",70,0,10,0.670732347825732,12,NA,12
"71",71,1,11,-0.64617105421622,2,4,3
"72",72,1,11,0.378087147371965,2,4,3
"73",73,1,11,-1.34120340529392,2,4,3
"74",74,1,11,-0.280364553649011,2,4,3
"75",75,1,11,0.926796898222778,4,6,5
"76",76,1,11,-0.499848453989336,4,6,5
"77",77,1,11,-0.170622603478848,6,8,7
"78",78,1,12,0.231764547145082,0,2,1
"79",79,1,12,1.87789379969752,0,2,1
"80",80,1,12,-0.353525853762452,0,2,1
"81",81,1,12,0.268345197201803,0,2,1
"82",82,1,12,-1.41436470540736,2,4,3
"83",83,1,12,0.304925847258524,2,4,3
"84",84,1,12,0.451248447485406,4,6,5
"85",85,1,13,0.15860324703164,2,4,3
"86",86,1,13,1.54866794918703,2,4,3
"87",87,1,13,0.195183897088361,2,4,3
"88",88,1,13,-1.41436470540736,2,4,3
"89",89,1,13,-0.64617105421622,2,4,3
"90",90,1,13,-0.353525853762452,4,6,5
"91",91,1,13,0.268345197201803,12,NA,12
"92",92,1,14,-1.26804210518047,0,2,1
"93",93,1,14,-1.15830015501031,0,2,1
"94",94,1,14,1.18286144861982,2,4,3
"95",95,1,14,-1.41436470540736,2,4,3
"96",96,1,14,2.20711965020801,2,4,3
"97",97,1,14,0.487829097542127,2,4,3
"98",98,1,14,-0.0974613033654065,8,10,9
"99",99,1,15,-0.463267803932615,0,2,1
"100",100,1,15,-1.41436470540736,2,4,3
"101",101,1,15,-0.463267803932615,2,4,3
"102",102,1,15,-0.390106503819173,2,4,3
"103",103,1,15,0.414667797428686,2,4,3
"104",104,1,15,-1.41436470540736,2,4,3
"105",105,1,15,-0.865654954556545,12,NA,12
"106",106,1,16,-0.573009754102778,0,2,1
"107",107,1,16,-0.792493654443103,0,2,1
"108",108,1,16,0.15860324703164,2,4,3
"109",109,1,16,-0.0243000032519647,2,4,3
"110",110,1,16,-0.207203253535569,2,4,3
"111",111,1,16,-0.682751704272941,2,4,3
"112",112,1,16,0.378087147371965,4,6,5
"113",113,1,17,0.59757104771229,0,2,1
"114",114,1,17,-0.24378390359229,0,2,1
"115",115,1,17,-0.390106503819173,0,2,1
"116",116,1,17,-0.0243000032519647,2,4,3
"117",117,1,17,-0.902235604613266,2,4,3
"118",118,1,17,-1.41436470540736,2,4,3
"119",119,1,17,1.07311949844966,2,4,3
"120",120,1,18,-0.902235604613266,2,4,3
"121",121,1,18,1.69499054941392,2,4,3
"122",122,1,18,0.0122806468047562,2,4,3
"123",123,1,18,1.10970014850638,2,4,3
"124",124,1,18,-1.37778405535064,4,6,5
"125",125,1,18,-1.41436470540736,4,6,5
"126",126,1,18,0.560990397655569,12,NA,12
"127",127,1,19,-0.499848453989336,2,4,3
"128",128,1,19,-0.207203253535569,2,4,3
"129",129,1,19,-1.41436470540736,2,4,3
"130",130,1,19,-0.134041953422127,2,4,3
"131",131,1,19,-0.390106503819173,2,4,3
"132",132,1,19,0.670732347825732,4,6,5
"133",133,1,19,-1.41436470540736,6,8,7
"134",134,1,20,0.99995819833622,0,2,1
"135",135,1,20,0.414667797428686,2,4,3
"136",136,1,20,-0.719332354329661,2,4,3
"137",137,1,20,-0.207203253535569,2,4,3
"138",138,1,20,1.40234534896015,2,4,3
"139",139,1,20,1.21944209867655,2,4,3
"140",140,1,20,-0.24378390359229,4,6,5
